"proj_title","proj_lead","proj_inst","proj_detail"
"A Descriptive Analysis of Patients with COVID-19 Infection across MaineHealth","Lead Investigator: Christina Holt","Accessing Institution: Maine Medical Center","We will perform a retrospective analysis of COVID-19 data that includes confirmed cases and persons under investigation (PUI) from all MaineHealth institutions to understand demographic distribution, spectrum of disease severity as well as hospitalization and mortality rates.  In the state of Maine, over 31,000 people have been infected with SARS-CoV2-virus and more than 453 people have died. The counties in Maine served by a MaineHealth member hospital or clinic include: Cumberland, York, Oxford, Franklin, Sagadahoc, Lincoln, Knox and Waldo, and Aroostook, which combined account for 66% of reported cases in Maine according to Maine CDC data as of January 13, 2021.The risks of serious disease and death in COVID-19 cases increases with advancing age and presence of comorbid health conditions such as chronic obstructive pulmonary disease (COPD), diabetes mellitus, heart failure immunosuppressive states such as post solid organ transplant patients. To prevent the spread and death from this virus, identifying symptoms early, performing tests to detect cases, and isolating infected individual has been critical.  National and local data have shown that COVID-19 disproportionately affects the elderly, those living in congregate care settings, and racial and ethnic minorities. For those of us in the MaineHealth system, knowing how this condition has presented in our patient population, what the demographic profile, medical complexity and service utilization has been will help us to focus our educational efforts for staff, learners and community. There has been no comprehensive descriptive report of the first six months of the pandemic and we aim to describe MaineHealth?s early experiences. We plan to perform a retrospective analysis of all patients with identified with COVID-19 across the MaineHealth system submitted to the N3C from January 2020 through December 31, 2020. Our specific Aims include: 1. Analyze N3C data available to MaineHealth for COVID-19 from January 1 ? December 31, 2020, including demographic, medical diagnostic and service utilization data. 2. Perform descriptive data analyses of COVID-19 cases by geographic area.  3. Describe hospitalization, disease severity and mortality rates among confirmed cases by geographic area.Our study will add knowledge about COVID-19 across the MaineHealth system. By analyzing and summarizing the demographic distribution of COVID-19 infection, understanding the spectrum of disease severity, as well as having the knowledge of hospitalization and mortality rates, we will learn which segment of the population is affected and who is at risk of developing severe disease and dying from COVID-19 in the MaineHealth service area."
"A machine learning strategy for identifying drugs that affect COVID-19 outcome","Lead Investigator: Justin Reese","Accessing Institution: Lawrence Berkeley National Laboratory","We have constructed a COVID-19 knowledge graph and developed a graph machine learning method for identifying drugs that affect COVID-19 outcome. This effort has yielded a short list of drugs that warrant further investigation using clinical data. We propose to use the N3C cohort in a retrospective case-cohort study to identify drugs on our shortlist that have a statistically significant effect on COVID-19 outcome, after controlling for comorbidities and other confounding factors."
"Acute Kidney Injury in COVID-19","Lead Investigator: Moustafa Younis","Accessing Institution: University of Kansas Medical Center","Hypercoagulability with microvascular involvement has been described in patients with severe COVID-19.  According to a study performed on 44 ICU patients, thromboelastogram found a complete lack of clot lysis in 57% of the patients and that was associated with a high rate of kidney failure, need for hemodialysis and thromboembolic events. These results suggest that the development of microemboli and microthrombi in the context of hypercoagulability could be strong contributors to AKI. This highlights the potential role of anticoagulation in the prevention or treatment of AKI in patients with severe COVID-19. Early identification of kidney involvement in patients with COVID-19 and the use of preventive and/or therapeutic measures are vital to limit consequent AKI or progression to more severe stages thus reducing morbidity and mortality.Aim: In our study, we aim to retrospectively investigate 1) the impact of anticoagulation on the rates of AKI , 2) the impact of anticoagulation on the rates of progression to RRT, 3) identify predictors of AKI in patients with COVID-19, 4) describe COVID patients at different d-dimer level"
"Acute Kidney Injury in Pediatric COVID-19 Patients","Lead Investigator: ADAM DZIORNY","Accessing Institution: University of Rochester","Adult patients with COVID-19 have a high incidence of acute kidney injury (AKI). The cause of AKI is multifactorial and is hypothesized to include direct viral injury and inflammation of the kidneys, pre-existing conditions conferring a higher risk, and treatment sequelae such as nephrotoxic medications. The purpose of this study is to better characterize acute kidney injury in pediatric patients (< 18 years old) with and without COVID-19. Specifically we request Level 2 (de-identified) data to ask the following questions: 1) What is the incidence of AKI among pediatric patients, both with and without COVID-19; 2) What risk factors predict the development of AKI in pediatric COVID-19 patients; 3) What are the outcomes of patients with and without AKI; 4) What is the time-course of AKI resolution; and 5) How are treatments, including medication and technology (e.g. CRRT or ECMO) associated with AKI progression or resolution. These final three questions will stratify AKI by KDIGO severity criteria."
"Adaptive and interpretable machine learning to predict COVID-19 trajectory and severity ","Lead Investigator: Matthew Robinson","Accessing Institution: Johns Hopkins University","The clinical trajectory of patients diagnosed with COVID-19 is highly variable. Traditional measures of association reported by observational studies are difficult for clinicians to apply to understand an individual patient?s risk of developing severe disease. Conversely, the underlying logic driving machine learning-based predictions of COVID-19 severity are difficult to interpret which limits the ability of treating clinicians to trust their insight. The goal of this project is to design and implement a series of prediction tools driven by machine learning that use adaptive inputs and highly intuitive summaries to deliver accurate predictions that front-line clinicians can use to understand an individual patient?s risk of progression from COVID-19 diagnosis to hospitalization, severe disease, and death."
"AI-Assisted Assessment, Tracking, and Reporting of COVID-19 Severity on Chest CT","Lead Investigator: Asser Elkassem;Abou;Abou Elkassem","Accessing Institution: University of Alabama at Birmingham","COVID-19 is a severe infectious respiratory disease. In this pandemic, some patients with COVID-19 are at high risk of respiratory collapse and death, and there is a need to identify patients at high risk and to monitor therapy. Chest CT images contain information that can be used to monitor disease severity. However, current text-based reporting of chest CT findings in COVID-19 patients by radiologists are subjective, highly variable between radiologists, inefficient to generate and interpret, prone to interpretation errors, frequently omit key findings, and do not provide quantitative data in a standardized format. In patients with COVID-19, there are research methods to assess the percentage of lung involvement of COVID-19 on chest CT images that predict disease severity. However, this method requires a complex, manual workflow to complete and is subject to errors, omissions, and high inter-observer variability. Collectively, the lack of consistent data hinders disease profiling by epidemiologists and public health officials. This project proposes to research and develop an artificial intelligence (AI)-assisted COVID-19 CT imaging workflow for radiologists to rapidly and objectively quantify the percentage of lung involvement, track common and uncommon COVID-19 lung findings, and automatically generate reports with a graph, key images, and structured text. To perform algorithm training, we are requesting the Level 2, de-identified N3C data set. We hypothesize that the proposed AI-assisted workflow will reduce interpretation errors and omissions and improve accuracy, standardization, inter-observer agreement, efficiency, and reporting in evaluation of COVID-19 disease severity and response to treatment."
"Alcohol Use and Respiratory Outcomes in COVID19 Infections","Lead Investigator: Alfred Anzalone","Accessing Institution: University of Nebraska Medical Center","Heavy alcohol use (>4 drinks/day for women and >5 drinks/day for men) is a known risk factor for bacterial pneumonia and the development of ARDS. Certain respiratory viruses such as RSV are also more severe in those that drink heavily. It is not currently known whether alcohol use increases the susceptibility to infection with SARS-CoV2 or worsens disease severity."
"Analysis of factors associated with survival from SARS-CoV-2 infections","Lead Investigator: Thomas Hartka","Accessing Institution: University of Virginia","This project will demographics and treatments associate with survival from SARS-CoV-2 infections.  Demographics will include factors such as age, sex, comorbidity, and ethnicity.   Treatment factors will focus on medications which have been shown in clinical trials to improve mortality."
"Analysis of previous exposure to influenza vaccine and influenza virus to COVID-19 Patient Outcomes","Lead Investigator: Paul Grant","Accessing Institution: University of North Carolina at Chapel Hill","We hypothesize that exposure to either an influenza infection, or the seasonal influenza virus has a positive influence on COVID-19 positive patients and their documented medical outcomes. This study will explore influenza vaccine and infections and their relationships to the outcomes of COVID-19 positive patients."
"Analysis of Time Windows as Determining Factors for COVID-19 Patient Outcomes","Lead Investigator: Arti Patel","Accessing Institution: University of Virginia","Protocol that determines if a patient should be tested for COVID-19 may depend on presence of certain symptoms and vital signs. If presence of certain symptoms in combination with the length of time before getting tested has an impact on patient outcomes, we would like to find the optimal time window that leads to better patient outcomes."
